//,텍스트 ID,텍스트 내용
//,Int,String
//,텍스트의 ID,"텍스트가 적힐 내용
표기"
//,예시),
//,30xx : 단어,
//,31xx : 대화내용,
Header,TextID,TextContent
//,단어형 Text,
,3001,친구
,3002,엄마
//,문장형 Text,
,3101,[web발신] 러닝액션게임 이름 시즌 2시작 사전예약 이벤트 알림
,3102,78-3515-11 계좌로 월세 입금 부탁드립니다.
,3103,"입금 금액이 ""차액""만큼 부족해서 다시 입금 부탁드립니다."
,3104,"입금 금액이 ""차액""만큼 초과해서 입금드렸으니 확인부탁드립니다."
,3105,내일 우리 몇시에 만나기로 했지?
,3106,12시에 만나기로 했어
,3107,12시쯤으로 기억하고 있어
,3108,우리 만나는거 내일이야?
,3109,그러면 내일 만나서 뭐 먹을꺼야?
,3110,글쎄..내일 만나서 정하자
,3111,나 지금 바빠서 조금있다가 다시 연락할께
,3112,너가 정해서 알려줘
,3113,응? 내일 아니였나? 내일로 기억하고 있는데
,3114,아 맞다..까먹고 있었다.
,3115,맞네..위에 내용보니 내일이었네
,3116,그러면 중식한식양식중에 하나 골라봐 그걸로 찾아보게
,3117,난 중식이 좋아
,3118,난 양식이 좋아
,3119,난 한식이 좋아
,3120,그래 그럼 조금 있다가 다시 연락할게
,3121,그래 그럼 내일 보자
,3122,그러면 조금 있다가 찾아서 보내 놓을게
